# Dow Jones
# Vir: finance.yahoo.com, pridobljeno 26. 5. 2016
Date             Open            High            Low             Close             Volume
2/17/2016        16217.98        16486.12        16217.98        16453.83       124080000
2/16/2016        16012.39        16196.41        16012.39        16196.41       142030000
2/12/2016        15691.62        15974.04        15691.62        15973.84       132550000
2/11/2016        15897.82        15897.82        15503.01        15660.18       172070000
2/10/2016        16035.61        16201.89        15899.91        15914.74       122290000
2/9/2016         16005.41        16136.62        15881.11        16014.38       127740000
2/8/2016         16147.51        16147.51        15803.55        16027.05       165880000
2/5/2016         16417.95        16423.63        16129.81        16204.97       139010000
2/4/2016         16329.67        16485.84        16266.16        16416.58       131490000
2/3/2016         16186.20        16381.69        15960.45        16336.66       141870000
2/2/2016         16420.21        16420.21        16108.44        16153.54       126210000
2/1/2016         16453.63        16510.98        16299.47        16449.18       114450000
1/29/2016        16090.26        16466.30        16090.26        16466.30       217940000
1/28/2016        15960.28        16102.14        15863.72        16069.64       130120000
1/27/2016        16168.74        16235.03        15878.30        15944.46       138350000
1/26/2016        15893.16        16185.79        15893.16        16167.23       118210000
1/25/2016        16086.46        16086.46        15880.15        15885.22       123250000
1/22/2016        15921.10        16136.79        15921.10        16093.51       145850000
1/21/2016        15768.87        16038.59        15704.66        15882.68       145140000
1/20/2016        15989.45        15989.45        15450.56        15766.74       191870000
1/19/2016        16009.45        16171.96        15900.25        16016.02       144360000
1/15/2016        16354.33        16354.33        15842.11        15988.08       239210000
1/14/2016        16159.01        16482.05        16075.12        16379.05       158830000
1/13/2016        16526.63        16593.51        16123.20        16151.41       153530000
1/12/2016        16419.11        16591.35        16322.07        16516.22       117480000
1/11/2016        16358.71        16461.85        16232.03        16398.57       127790000
1/8/2016         16519.17        16651.89        16314.57        16346.45       141850000
1/7/2016         16888.36        16888.36        16463.63        16514.10       176240000
1/6/2016         17154.83        17154.83        16817.62        16906.51       120250000
1/5/2016         17147.50        17195.84        17038.61        17158.66       105750000
1/4/2016         17405.48        17405.48        16957.63        17148.94       148060000
12/31/2015       17590.66        17590.66        17421.16        17425.03        93690000
12/30/2015       17711.94        17714.13        17588.87        17603.87        59760000
12/29/2015       17547.37        17750.02        17547.37        17720.98        69860000
12/28/2015       17535.66        17536.90        17437.34        17528.27        59770000
12/24/2015       17593.26        17606.34        17543.95        17552.17        40350000
12/23/2015       17427.63        17607.92        17427.63        17602.61        92820000
12/22/2015       17253.55        17451.11        17242.86        17417.27        91570000
12/21/2015       17154.94        17272.36        17116.73        17251.62       114910000
12/18/2015       17495.04        17496.58        17124.31        17128.55       344560000
12/17/2015       17756.54        17796.76        17493.50        17495.84       115780000
12/16/2015       17530.85        17784.36        17483.68        17749.09       123790000
12/15/2015       17374.78        17627.63        17341.18        17524.91       123430000
12/14/2015       17277.11        17378.02        17138.47        17368.50       142540000
12/11/2015       17574.75        17574.75        17230.50        17265.21       134510000
12/10/2015       17493.17        17697.74        17474.66        17574.75       107310000
12/9/2015        17558.18        17767.69        17403.51        17492.30       122020000
12/8/2015        17703.99        17703.99        17485.39        17568.00       113720000
12/7/2015        17845.49        17845.49        17639.25        17730.51        99670000
12/4/2015        17482.68        17866.47        17482.68        17847.63       137650000
12/3/2015        17741.57        17780.59        17425.56        17477.67       126990000
12/2/2015        17883.14        17901.58        17708.20        17729.68       102860000
12/1/2015        17719.72        17895.50        17719.72        17888.35       103880000
11/30/2015       17802.84        17837.24        17719.79        17719.92       155560000
11/27/2015       17806.04        17830.36        17749.32        17813.39        82540000
11/25/2015       17820.81        17854.92        17801.83        17813.39        82540000
11/24/2015       17770.90        17862.60        17683.51        17812.19       127170000
11/23/2015       17823.61        17868.18        17751.53        17792.68       134680000
11/20/2015       17732.75        17914.34        17732.75        17823.81       153140000
11/19/2015       17739.83        17772.97        17681.98        17732.75       114630000
11/18/2015       17485.49        17752.16        17485.49        17737.16       106810000
11/17/2015       17486.99        17599.33        17451.41        17489.50       167190000
11/16/2015       17229.94        17483.01        17210.43        17483.01       137590000
11/13/2015       17439.25        17439.25        17238.89        17245.24       134640000
11/12/2015       17691.93        17691.93        17443.50        17448.07       113660000
11/11/2015       17769.50        17807.18        17696.91        17702.22        95230000
11/10/2015       17724.13        17768.66        17657.72        17758.21       108640000
11/9/2015        17900.78        17900.78        17667.78        17730.48       121210000
11/6/2015        17855.22        17912.04        17768.60        17910.33       107450000
11/5/2015        17871.25        17929.51        17779.19        17863.43        98910000
11/4/2015        17929.58        17964.12        17828.83        17867.58        99890000
11/3/2015        17819.74        17977.85        17796.02        17918.15        92290000
11/2/2015        17672.62        17845.90        17655.02        17828.76       100840000
10/30/2015       17756.60        17799.96        17662.87        17663.54       149250000
10/29/2015       17771.50        17786.00        17684.72        17755.80        90300000
10/28/2015       17586.69        17779.95        17556.71        17779.52       115630000
